Unnamed: 0,fb_username,ig_username,brand,cat_1,cat_2,cat_3,cat_4,country,brandID,fb_likes,fb_followers,fb_posts_num,fb_avg_comments_num,fb_avg_likes_num,fb_avg_shares_num,ig_followings,ig_followers,ig_posts,ig_posts_num,ig_avg_comments_num,ig_avg_likes_num,fb_likes_growth,fb_followers_growth,fb_avg_comments_num_growth,fb_avg_likes_num_growth,fb_avg_shares_num_growth,ig_followers_growth,ig_avg_comments_num_growth,ig_avg_likes_num_growth
3123,backtotheroots,backtotheroots_official,Back to the Roots,Garden,Eco-Friendly,,,,3124,70946.719129257,70874.1134514675,48.536091423481,0.603382874527895,-38.5198651633649,-4.89432774341328,2095.1643558073,40692.9732404604,780.053500639261,55.1464736217817,17.8373732195843,115.286478830537,18.1873048445291,19.2391428132756,0.003324589587542,-0.011257720458498,-0.03477611439806,49.7879554878762,0.083046857020492,0.184104734569946
3126,centifolia,centifolia_france,Centifolia,Skincare,Beauty,,,,3127,17586.8290383791,17546.6075883506,43.1538914141668,2.00851608889551,9.62901705241213,2.22084926788709,0,9603.21579555019,514.621667438428,62.7574026113929,12.8418861489209,98.4418519523715,10.2472972644377,11.7994227031692,1.12138516741847,1.20879519956904,0.01403886761955,23.3509181483611,0.22181367429342,0.500291781726364
3129,BudtzBendix,budtzbendix,BudtzBendix,Kids,Furniture,Accessories,,,3130,,,,,,,,,,,,,,,,,,,,
3133,marimekkodesignhouse,marimekko,marimekko,Design,Décor,,,,3134,334413.070831948,334236.777569218,32.4162871574745,11.8888443614857,678.622108522835,20.4086182744813,1397.19312250677,455269.271587461,2346.91281747335,67.6310076764968,19.3920475443013,6800.27702012635,49.7094762374307,56.50276010153,-0.012200093749977,-1.56578438610716,-0.047673245539032,250.658898887274,-0.084744184952406,-1.82785282781896
3134,miniwaretw,,Miniware,Kids,Cutlery,Eco-Friendly,Taiwan,,3135,19726.8152102009,20222.0390014658,34.8262368174748,15.1898365228161,20.9751376798955,4.64567220294709,,,,,,,11.1984009042926,11.9347675246866,-0.003649848241802,-0.023870324834455,-0.005592276458629,,,
3136,fraicheliving,fraichenutrition,Fraîche Living,Home,Kitchen,Accessories,,,3137,19009.4203585873,20012.1030384006,91.8739710707551,13.7171477761779,101.923495379682,1.4287127247927,0,43.5911268639611,0,29.4547912603419,114.604252998056,2980.38292165499,1.75317359685723,2.83535346479985,-0.002553978170283,-0.161467415841167,0.000954704520344,-1.07647068952249,-0.005273725821765,0.208322393443181
3138,lisa,lisalarsonjp,Lisa Larson.JP,Lifestyle,Décor,Pottery,,,3139,23846.2774003371,24300.316843002,96.464751415584,1.37972337520537,91.5102054631501,3.58930199380737,4,88431.3376267456,3144.18467155104,163.054139103688,2.25183631441664,1909.25791760615,0.372106767834409,0.466046901705319,0.002735353753473,-0.248723212058855,-0.003378306395529,43.7938968194366,-0.005129848034266,-1.77616519313085
3143,chantacharm,chantacharm_official,chant a charm,Skincare,,,,,3144,499.71668861551,512.656955524507,,,,,5,8306.71497445883,149.854879236204,7.86144726278832,113.873507387558,289.264175396162,0.282215321217794,0.327307715009644,,,,24.5841611769295,-0.062466633219195,-0.809197602797282
3144,gubiofficial,gubiofficial,Gubi,Furniture,Lighting,Accessories,,,3145,17819.0138057283,19200.9720247628,44.152886168635,2.95784393659049,34.7974608219508,3.98934415417331,265.975801851499,431546.615545484,2010.57309491021,101.379327447408,21.8581218185854,3702.84705277723,24.6390514777509,32.9361233470295,-0.005243268498252,-0.042317414006437,0.000239749161973,452.559880920112,-0.001047922230579,-0.647177066153809
3145,olfinity,olfinityofficial,Olfinity,Smarthome,Tech,Health,,,3146,1410.24463083362,1413.24705427682,,,,,495.029845868605,189.579897502414,165,,,,-0.134636951193607,-0.134628040038613,,,,0.007302917127169,,
